model,activity,score
BAAI/AltCLIP,Baking Bread,0.34615384615384615
BAAI/AltCLIP,Beading Earrings,0.7368421052631579
BAAI/AltCLIP,Catching Fish,0.3870967741935484
BAAI/AltCLIP,Choosing Dress,0.5517241379310345
BAAI/AltCLIP,Climbing Tree,0.5357142857142857
BAAI/AltCLIP,Drinking Beer,0.5806451612903226
BAAI/AltCLIP,Holding Baby,0.5806451612903226
BAAI/AltCLIP,Holding Gun,0.6666666666666666
BAAI/AltCLIP,Leading Team,0.6206896551724138
BAAI/AltCLIP,Picking Flower,0.7096774193548387
EVA01-g-14 laion400m_s11b_b41k,Baking Bread,0.6923076923076923
EVA01-g-14 laion400m_s11b_b41k,Beading Earrings,0.7368421052631579
EVA01-g-14 laion400m_s11b_b41k,Catching Fish,0.2903225806451613
EVA01-g-14 laion400m_s11b_b41k,Choosing Dress,0.7586206896551724
EVA01-g-14 laion400m_s11b_b41k,Climbing Tree,0.6071428571428571
EVA01-g-14 laion400m_s11b_b41k,Drinking Beer,0.5806451612903226
EVA01-g-14 laion400m_s11b_b41k,Holding Baby,0.41935483870967744
EVA01-g-14 laion400m_s11b_b41k,Holding Gun,0.7037037037037037
EVA01-g-14 laion400m_s11b_b41k,Leading Team,0.41379310344827586
EVA01-g-14 laion400m_s11b_b41k,Picking Flower,0.45161290322580644
EVA02-L-14 merged2b_s4b_b131k,Baking Bread,0.6923076923076923
EVA02-L-14 merged2b_s4b_b131k,Beading Earrings,0.6578947368421053
EVA02-L-14 merged2b_s4b_b131k,Catching Fish,0.3548387096774194
EVA02-L-14 merged2b_s4b_b131k,Choosing Dress,0.5172413793103449
EVA02-L-14 merged2b_s4b_b131k,Climbing Tree,0.6071428571428571
EVA02-L-14 merged2b_s4b_b131k,Drinking Beer,0.6129032258064516
EVA02-L-14 merged2b_s4b_b131k,Holding Baby,0.4838709677419355
EVA02-L-14 merged2b_s4b_b131k,Holding Gun,0.5185185185185185
EVA02-L-14 merged2b_s4b_b131k,Leading Team,0.5172413793103449
EVA02-L-14 merged2b_s4b_b131k,Picking Flower,0.25806451612903225
RN50x64 openai,Baking Bread,0.5769230769230769
RN50x64 openai,Beading Earrings,0.7105263157894737
RN50x64 openai,Catching Fish,0.45161290322580644
RN50x64 openai,Choosing Dress,0.7241379310344828
RN50x64 openai,Climbing Tree,0.6428571428571429
