model,activity,score
BAAI/AltCLIP,Baking Bread,0.6363636363636364
BAAI/AltCLIP,Beading Earrings,0.6060606060606061
BAAI/AltCLIP,Catching Fish,0.5555555555555556
BAAI/AltCLIP,Choosing Dress,0.5
BAAI/AltCLIP,Climbing Tree,0.37037037037037035
BAAI/AltCLIP,Drinking Beer,0.25806451612903225
BAAI/AltCLIP,Holding Baby,0.5483870967741935
BAAI/AltCLIP,Holding Gun,0.46875
BAAI/AltCLIP,Leading Team,0.3225806451612903
BAAI/AltCLIP,Picking Flower,0.4838709677419355
EVA01-g-14 laion400m_s11b_b41k,Baking Bread,0.45454545454545453
EVA01-g-14 laion400m_s11b_b41k,Beading Earrings,0.7878787878787878
EVA01-g-14 laion400m_s11b_b41k,Catching Fish,0.5
EVA01-g-14 laion400m_s11b_b41k,Choosing Dress,0.8928571428571429
EVA01-g-14 laion400m_s11b_b41k,Climbing Tree,0.18518518518518517
EVA01-g-14 laion400m_s11b_b41k,Drinking Beer,0.25806451612903225
EVA01-g-14 laion400m_s11b_b41k,Holding Baby,0.5161290322580645
EVA01-g-14 laion400m_s11b_b41k,Holding Gun,0.53125
EVA01-g-14 laion400m_s11b_b41k,Leading Team,0.3225806451612903
EVA01-g-14 laion400m_s11b_b41k,Picking Flower,0.5161290322580645
EVA02-L-14 merged2b_s4b_b131k,Baking Bread,0.3333333333333333
EVA02-L-14 merged2b_s4b_b131k,Beading Earrings,0.7575757575757576
EVA02-L-14 merged2b_s4b_b131k,Catching Fish,0.3055555555555556
EVA02-L-14 merged2b_s4b_b131k,Choosing Dress,0.6785714285714286
EVA02-L-14 merged2b_s4b_b131k,Climbing Tree,0.18518518518518517
EVA02-L-14 merged2b_s4b_b131k,Drinking Beer,0.3870967741935484
EVA02-L-14 merged2b_s4b_b131k,Holding Baby,0.45161290322580644
EVA02-L-14 merged2b_s4b_b131k,Holding Gun,0.5
EVA02-L-14 merged2b_s4b_b131k,Leading Team,0.3548387096774194
EVA02-L-14 merged2b_s4b_b131k,Picking Flower,0.45161290322580644
RN50x64 openai,Baking Bread,0.6666666666666666
RN50x64 openai,Beading Earrings,0.3939393939393939
RN50x64 openai,Catching Fish,0.5555555555555556
RN50x64 openai,Choosing Dress,0.5357142857142857
RN50x64 openai,Climbing Tree,0.4074074074074074
RN50x64 openai,Drinking Beer,0.41935483870967744
RN50x64 openai,Holding Baby,0.3548387096774194
RN50x64 openai,Holding Gun,0.5
RN50x64 openai,Leading Team,0.3870967741935484
RN50x64 openai,Picking Flower,0.41935483870967744
ViT-B-16 openai,Baking Bread,0.696969696969697
ViT-B-16 openai,Beading Earrings,0.5454545454545454
ViT-B-16 openai,Catching Fish,0.4166666666666667
ViT-B-16 openai,Choosing Dress,0.6428571428571429
ViT-B-16 openai,Climbing Tree,0.3333333333333333
ViT-B-16 openai,Drinking Beer,0.5806451612903226
ViT-B-16 openai,Holding Baby,0.3870967741935484
ViT-B-16 openai,Holding Gun,0.34375
ViT-B-16 openai,Leading Team,0.3548387096774194
ViT-B-16 openai,Picking Flower,0.5806451612903226
ViT-B-32 openai,Baking Bread,0.5757575757575758
ViT-B-32 openai,Beading Earrings,0.5454545454545454
ViT-B-32 openai,Catching Fish,0.5555555555555556
ViT-B-32 openai,Choosing Dress,0.5714285714285714
ViT-B-32 openai,Climbing Tree,0.4074074074074074
ViT-B-32 openai,Drinking Beer,0.5483870967741935
ViT-B-32 openai,Holding Baby,0.3548387096774194
ViT-B-32 openai,Holding Gun,0.65625
ViT-B-32 openai,Leading Team,0.2903225806451613
ViT-B-32 openai,Picking Flower,0.5161290322580645
ViT-L-14 openai,Baking Bread,0.6666666666666666
ViT-L-14 openai,Beading Earrings,0.5454545454545454
ViT-L-14 openai,Catching Fish,0.3611111111111111
ViT-L-14 openai,Choosing Dress,0.5
ViT-L-14 openai,Climbing Tree,0.2962962962962963
ViT-L-14 openai,Drinking Beer,0.5483870967741935
ViT-L-14 openai,Holding Baby,0.3870967741935484
ViT-L-14 openai,Holding Gun,0.34375
ViT-L-14 openai,Leading Team,0.3225806451612903
ViT-L-14 openai,Picking Flower,0.5483870967741935
coca_ViT-B-32 laion2b_s13b_b90k,Baking Bread,0.45454545454545453
coca_ViT-B-32 laion2b_s13b_b90k,Beading Earrings,0.6363636363636364
coca_ViT-B-32 laion2b_s13b_b90k,Catching Fish,0.4722222222222222
coca_ViT-B-32 laion2b_s13b_b90k,Choosing Dress,0.6428571428571429
coca_ViT-B-32 laion2b_s13b_b90k,Climbing Tree,0.48148148148148145
coca_ViT-B-32 laion2b_s13b_b90k,Drinking Beer,0.2903225806451613
coca_ViT-B-32 laion2b_s13b_b90k,Holding Baby,0.5483870967741935
coca_ViT-B-32 laion2b_s13b_b90k,Holding Gun,0.5625
coca_ViT-B-32 laion2b_s13b_b90k,Leading Team,0.45161290322580644
coca_ViT-B-32 laion2b_s13b_b90k,Picking Flower,0.2903225806451613
coca_ViT-L-14 laion2b_s13b_b90k,Baking Bread,0.48484848484848486
coca_ViT-L-14 laion2b_s13b_b90k,Beading Earrings,0.6666666666666666
coca_ViT-L-14 laion2b_s13b_b90k,Catching Fish,0.25
coca_ViT-L-14 laion2b_s13b_b90k,Choosing Dress,0.4642857142857143
coca_ViT-L-14 laion2b_s13b_b90k,Climbing Tree,0.25925925925925924
coca_ViT-L-14 laion2b_s13b_b90k,Drinking Beer,0.41935483870967744
coca_ViT-L-14 laion2b_s13b_b90k,Holding Baby,0.5161290322580645
coca_ViT-L-14 laion2b_s13b_b90k,Holding Gun,0.5625
coca_ViT-L-14 laion2b_s13b_b90k,Leading Team,0.3870967741935484
coca_ViT-L-14 laion2b_s13b_b90k,Picking Flower,0.2903225806451613
facebook/flava-full,Baking Bread,0.42424242424242425
facebook/flava-full,Beading Earrings,0.8787878787878788
facebook/flava-full,Catching Fish,0.2222222222222222
facebook/flava-full,Choosing Dress,0.75
facebook/flava-full,Climbing Tree,0.2962962962962963
facebook/flava-full,Drinking Beer,0.3870967741935484
facebook/flava-full,Holding Baby,0.41935483870967744
facebook/flava-full,Holding Gun,0.34375
facebook/flava-full,Leading Team,0.25806451612903225
facebook/flava-full,Picking Flower,0.45161290322580644
kakaobrain/align-base,Baking Bread,0.5454545454545454
kakaobrain/align-base,Beading Earrings,0.5454545454545454
kakaobrain/align-base,Catching Fish,0.4444444444444444
kakaobrain/align-base,Choosing Dress,0.75
kakaobrain/align-base,Climbing Tree,0.3333333333333333
kakaobrain/align-base,Drinking Beer,0.41935483870967744
kakaobrain/align-base,Holding Baby,0.7741935483870968
kakaobrain/align-base,Holding Gun,0.53125
kakaobrain/align-base,Leading Team,0.4838709677419355
kakaobrain/align-base,Picking Flower,0.45161290322580644
