model,activity,score
BAAI/AltCLIP,Baking Bread,0.6538461538461539
BAAI/AltCLIP,Beading Earrings,0.2631578947368421
BAAI/AltCLIP,Catching Fish,0.6451612903225806
BAAI/AltCLIP,Choosing Dress,0.4482758620689655
BAAI/AltCLIP,Climbing Tree,0.5
BAAI/AltCLIP,Drinking Beer,0.3870967741935484
BAAI/AltCLIP,Holding Baby,0.5483870967741935
BAAI/AltCLIP,Holding Gun,0.25925925925925924
BAAI/AltCLIP,Leading Team,0.5517241379310345
BAAI/AltCLIP,Picking Flower,0.2903225806451613
EVA01-g-14 laion400m_s11b_b41k,Baking Bread,0.2692307692307692
EVA01-g-14 laion400m_s11b_b41k,Beading Earrings,0.2894736842105263
EVA01-g-14 laion400m_s11b_b41k,Catching Fish,0.6774193548387096
EVA01-g-14 laion400m_s11b_b41k,Choosing Dress,0.2413793103448276
EVA01-g-14 laion400m_s11b_b41k,Climbing Tree,0.39285714285714285
EVA01-g-14 laion400m_s11b_b41k,Drinking Beer,0.3870967741935484
EVA01-g-14 laion400m_s11b_b41k,Holding Baby,0.7096774193548387
EVA01-g-14 laion400m_s11b_b41k,Holding Gun,0.2962962962962963
EVA01-g-14 laion400m_s11b_b41k,Leading Team,0.7241379310344828
EVA01-g-14 laion400m_s11b_b41k,Picking Flower,0.5161290322580645
EVA02-L-14 merged2b_s4b_b131k,Baking Bread,0.38461538461538464
EVA02-L-14 merged2b_s4b_b131k,Beading Earrings,0.4473684210526316
EVA02-L-14 merged2b_s4b_b131k,Catching Fish,0.6774193548387096
EVA02-L-14 merged2b_s4b_b131k,Choosing Dress,0.5862068965517241
EVA02-L-14 merged2b_s4b_b131k,Climbing Tree,0.5357142857142857
EVA02-L-14 merged2b_s4b_b131k,Drinking Beer,0.3870967741935484
EVA02-L-14 merged2b_s4b_b131k,Holding Baby,0.7419354838709677
EVA02-L-14 merged2b_s4b_b131k,Holding Gun,0.48148148148148145
EVA02-L-14 merged2b_s4b_b131k,Leading Team,0.7931034482758621
EVA02-L-14 merged2b_s4b_b131k,Picking Flower,0.7419354838709677
RN50x64 openai,Baking Bread,0.46153846153846156
RN50x64 openai,Beading Earrings,0.3157894736842105
RN50x64 openai,Catching Fish,0.4838709677419355
RN50x64 openai,Choosing Dress,0.3448275862068966
RN50x64 openai,Climbing Tree,0.5357142857142857
RN50x64 openai,Drinking Beer,0.41935483870967744
RN50x64 openai,Holding Baby,0.5806451612903226
RN50x64 openai,Holding Gun,0.4074074074074074
RN50x64 openai,Leading Team,0.9310344827586207
RN50x64 openai,Picking Flower,0.3225806451612903
ViT-B-16 openai,Baking Bread,0.46153846153846156
ViT-B-16 openai,Beading Earrings,0.21052631578947367
ViT-B-16 openai,Catching Fish,0.5483870967741935
ViT-B-16 openai,Choosing Dress,0.3103448275862069
ViT-B-16 openai,Climbing Tree,0.25
ViT-B-16 openai,Drinking Beer,0.41935483870967744
ViT-B-16 openai,Holding Baby,0.5806451612903226
ViT-B-16 openai,Holding Gun,0.25925925925925924
ViT-B-16 openai,Leading Team,0.8620689655172413
ViT-B-16 openai,Picking Flower,0.3225806451612903
ViT-B-32 openai,Baking Bread,0.34615384615384615
ViT-B-32 openai,Beading Earrings,0.3684210526315789
ViT-B-32 openai,Catching Fish,0.5161290322580645
ViT-B-32 openai,Choosing Dress,0.41379310344827586
ViT-B-32 openai,Climbing Tree,0.42857142857142855
ViT-B-32 openai,Drinking Beer,0.3548387096774194
ViT-B-32 openai,Holding Baby,0.6129032258064516
ViT-B-32 openai,Holding Gun,0.4444444444444444
ViT-B-32 openai,Leading Team,0.5862068965517241
ViT-B-32 openai,Picking Flower,0.25806451612903225
ViT-L-14 openai,Baking Bread,0.5769230769230769
ViT-L-14 openai,Beading Earrings,0.23684210526315788
ViT-L-14 openai,Catching Fish,0.7419354838709677
ViT-L-14 openai,Choosing Dress,0.4827586206896552
ViT-L-14 openai,Climbing Tree,0.6071428571428571
ViT-L-14 openai,Drinking Beer,0.4838709677419355
ViT-L-14 openai,Holding Baby,0.45161290322580644
ViT-L-14 openai,Holding Gun,0.48148148148148145
ViT-L-14 openai,Leading Team,0.7586206896551724
ViT-L-14 openai,Picking Flower,0.3548387096774194
coca_ViT-B-32 laion2b_s13b_b90k,Baking Bread,0.46153846153846156
coca_ViT-B-32 laion2b_s13b_b90k,Beading Earrings,0.23684210526315788
coca_ViT-B-32 laion2b_s13b_b90k,Catching Fish,0.5483870967741935
coca_ViT-B-32 laion2b_s13b_b90k,Choosing Dress,0.41379310344827586
coca_ViT-B-32 laion2b_s13b_b90k,Climbing Tree,0.39285714285714285
coca_ViT-B-32 laion2b_s13b_b90k,Drinking Beer,0.3870967741935484
coca_ViT-B-32 laion2b_s13b_b90k,Holding Baby,0.6129032258064516
coca_ViT-B-32 laion2b_s13b_b90k,Holding Gun,0.4444444444444444
coca_ViT-B-32 laion2b_s13b_b90k,Leading Team,0.7586206896551724
coca_ViT-B-32 laion2b_s13b_b90k,Picking Flower,0.41935483870967744
coca_ViT-L-14 laion2b_s13b_b90k,Baking Bread,0.34615384615384615
coca_ViT-L-14 laion2b_s13b_b90k,Beading Earrings,0.34210526315789475
coca_ViT-L-14 laion2b_s13b_b90k,Catching Fish,0.5483870967741935
coca_ViT-L-14 laion2b_s13b_b90k,Choosing Dress,0.3103448275862069
coca_ViT-L-14 laion2b_s13b_b90k,Climbing Tree,0.39285714285714285
